Sample,TotalSH,logSH,D.Prp,Community,Previous sample
Ss_22-27_T5,0.023781252892896,-1.62376526871911,1,D,Ss_22-27_T5
Ss_22-33_T5,0.232950169062674,-0.632736970028125,1,D,Ss_22-33_T5
Ss_22-36_T5,0.077793945010833,-1.10905420443342,1,D,Ss_22-36_T5
Ss_22-41_T5,0.103422478321995,-0.985385059402175,1,D,Ss_22-41_T5
Ss_23-73_T5,0.061624004727926,-1.21025008182685,1,D,Ss_23-73_T5
Ss_23-76_T5,0.301334318829651,-0.520951403907199,1,D,Ss_23-76_T5
Ss_27-67_T5,0.038832693438834,-1.410802485708,1,D,Ss_27-67_T5
Ss_27-75_T5,0.257509912454376,-0.589206048792185,1,D,Ss_27-75_T5
Ss_27-86_T5,0.138813006658648,-0.857569838957314,1,D,Ss_27-86_T5
Ss_27-97_T5,0.074591431020223,-1.12731106092389,1,D,Ss_27-97_T5
Ss_28-13_T5,0.297857912005178,-0.52599085923963,0.927408123396246,D,Ss_28-13_T5
Ss_28-21_T5,0.559306871467482,-0.252349845034208,0.959765412831995,D,Ss_28-21_T5
Ss_28-30_T5,0.118997943753314,-0.92446054301339,0.142625117600492,C1,Ss_28-30_T5
Ss_24-21_T5,0.252309141710833,-0.598067013760488,0.005500871182855,C3,Ss_24-21_T5
Ss_24-27_T5,0.161260787843413,-0.792471222775467,0.00896128981027,C3,Ss_24-27_T5
Ss_30-16_T5,0.115033514656337,-0.939175610865573,0,C3,Ss_30-16_T5
Ss_30-21_T5,1.02250201861942,0.009664174062667,0,C3,Ss_30-21_T5
Ss_30-24_T5,0.131219168776077,-0.882002717661682,0,C3,Ss_30-24_T5
Ss_30-27_T5,0.128334858957948,-0.891655362355994,0,C3,Ss_30-27_T5
Ss_20-29_T5,0.009369471203092,-2.02828491925735,0,C1,Ss_20-29_T5
Ss_20-33_T5,0.004810115993243,-2.31784445073259,0,C1,Ss_20-33_T5
Ss_20-39_T5,0.007956523897264,-2.09927662848879,0,C1,Ss_20-39_T5
Ss_20-46_T5,0.00789782121146,-2.10249270191819,0.198395721532044,C1,Ss_20-46_T5
Ss_22-18_T5,0.032309034679835,-1.49067601751574,1,D,Ss_22-18_T5
Ss_22-25_T5,0.020435797795018,-1.6896084031586,1,D,Ss_22-25_T5
Ss_22-6_T5,0.020726557156691,-1.68347283162671,1,D,Ss_22-6_T5
Ss_23-56_T5,0.010202348591871,-1.99129984166157,1,D,Ss_23-56_T5
Ss_23-59_T5,0.019021872023645,-1.72074674452102,1,D,Ss_23-59_T5
Ss_23-63_T5,0.023854558719258,-1.62242861295808,0.982806588259566,D,Ss_23-63_T5
Ss_23-67_T5,0.0167201621298,-1.77675951566876,0.981368566908705,D,Ss_23-67_T5
Ss_27-18_T5,0.009084318330194,-2.04170765575741,0.963544872278468,D,Ss_27-18_T5
Ss_27-27_T5,0.007840173318633,-2.10567433648726,1,D,Ss_27-27_T5
Ss_27-46_T5,0.006002061379745,-2.22169956760024,1,D,Ss_27-46_T5
Ss_27-6_T5,0.00567230416051,-2.24624048944536,0.987879412617745,D,Ss_27-6_T5
Ss_28-10_T5,0.006509779218032,-2.18643374046661,0.764970259138923,D,Ss_28-10_T5
Ss_28-4_T5,0.01061149395406,-1.97422346903647,0.434994306903969,C1,Ss_28-4_T5
Ss_28-7_T5,0.012374357344611,-1.90747734665191,0.582176220082535,D,Ss_28-7_T5
Ss_24-11_T5,0.062389704917022,-1.20488706843619,0.034789429489912,C3,Ss_24-11_T5
Ss_24-15_T5,0.027524027347491,-1.56028801931647,0.003138840332187,C3,Ss_24-15_T5
Ss_24-5_T5,0.019310048550533,-1.71421663428885,0.096569281541696,C3,Ss_24-5_T5
Ss_30-10_T5,0.003985389762567,-2.39952919912242,0,C3,Ss_30-10_T5
Ss_30-14_T5,0.007227023315657,-2.14104054416882,0,C3,Ss_30-14_T5
